Appointment ID,Created,Updated,Cancelled,Errors
64a319db9173cb32157ea065,0,0,0,0
64beaf6a6b3ef6e0e60ae502,0,0,0,0
64bfa6f0467529f6ff5e89ba,0,0,0,0
664768dd7f0a7504555fe675,0,0,0,0
664dfde17e20ae61a52be71e,0,0,0,0
664dfe02cb608b781464fc75,0,0,0,0
664dfe343235ce1ba45fa81e,0,0,0,0
66f18ba27c60a68152dd49db,0,0,0,0
670d59bf9d35996b1b5e6f99,0,0,0,0
673b17516403ac265a55263b,0,0,0,0
67784c6d2848a011d64dcbc0,0,0,0,0
67843abc792091af908f6376,0,0,0,0
678fe4f54c1a5100e3127d59,0,0,0,0
67c03923c87d44c7f489a381,0,0,0,0
67c5fbb134665b92303b0157,0,0,0,0
67c7085f5a72d45d44d149e3,0,0,0,0
67c7085f5a72d45d44d149eb,0,0,0,0
67c708605a72d45d44d149ee,0,0,0,0
67c708605a72d45d44d149f4,0,0,0,0
67c708625a72d45d44d14a04,0,0,0,0
67c708625a72d45d44d14a0b,0,0,0,0
67c708635a72d45d44d14a0f,0,0,0,0
67cb0a491439a2d41497fc31,0,0,0,0
67cf6160dd39898e0ee57195,0,0,0,0
67d1cf82f109c797ac7ce00a,0,0,0,0
67d1cfb65e11c9d79a82a43f,0,0,0,0
67d1d9bff109c797ac7d40c4,0,0,0,0
67d394d9ab4bb1018a3937e7,0,0,0,0
67d436b10d7fffa14b3deb04,0,0,0,0
67dda51e9f0abc9065dd9b6d,0,0,1,0
67e1ad5a600db10a739376bd,0,0,0,0
67e3f37fc021e28ca9aa61b1,0,0,0,0
67e59f560a7853e04e1125d9,0,0,0,0
67eaaec1971f6066a8846db5,0,0,0,0
67ead2a0a4504e5674ff6422,0,0,0,0
67eafcdda4504e567400cea0,0,0,0,0
67ec25b6fe630d48039cc36b,0,0,0,0
67ec35b5252f16ec70d96d8a,0,0,0,0
67ec54bd626cb87cc88f9e95,0,0,0,0
67ec6edefe630d48039eeb34,0,0,0,0
67ed7ba19314dec191f513dd,0,0,0,0
67ed89d8226e852fe83c69b1,0,0,0,0
67edc1c2226e852fe83d5ff0,0,0,0,0
67eeb1c320716af76400f472,0,0,0,0
67f42c06471dc7069247084a,0,0,0,0
67f438fcd11371496030f6d6,0,0,0,0
67f43c3b52090ea9d17f7698,0,0,0,0
67f55ae14901b6e3c48d4737,0,0,0,0
67f55af7a671ba60e2e41ff9,0,0,0,0
67f55badc81547892ed6b40f,0,0,0,0
67f6aecb5c2c0d4297c5925b,0,0,0,0
67f6c58221324a74325045a7,0,0,0,0
67f7eee1851fd163151dac73,0,0,0,0
67f912851726f9bbf67feba0,0,0,0,0
67f939939f38b669902db74f,0,0,0,0
67f9737e1726f9bbf6826333,0,0,0,0
67fbf2d0e922571d7e4930e4,0,0,0,0
67fd436a211218516cfeb53d,0,0,0,0
67fd5c6319085f7229801246,0,0,0,0
67fd5c6419085f722980124c,0,0,0,0
67fd5c6419085f7229801254,0,0,0,0
67fd5c6519085f722980125b,0,0,0,0
67fd5c6519085f722980125f,0,0,0,0
67fd5c6619085f7229801266,0,0,0,0
67fd5c6619085f722980126e,0,0,0,0
67fd5c6719085f7229801271,1,0,0,0
67fd5c6719085f7229801274,1,0,0,0
67fd5fd19c7534cdc9c9de15,1,0,0,0
67fd6e50211218516cffaced,1,0,0,0
67fd6f6bcd18a36683be1fc0,1,0,0,0
67fd701a9c7534cdc9ca5d8c,1,0,0,0
67fd90fe614d23f8b0c7b44d,1,0,0,0
67fe4cc74226f7d2e5170140,1,0,0,0
67fe6424b23568658e544f78,1,0,1,0
67fe6e584226f7d2e517bfe9,1,0,0,0
67fe82579503305ce5cd97b4,1,0,0,0
67fe8a13fe20a0e872adc8fd,1,0,0,0
67fedbdcd6648c7549dea1f9,1,0,0,0
67feec33b23568658e583ade,1,0,0,0
67fef78833178c7faa73efbc,1,0,0,0
67fef78933178c7faa73efbf,1,0,0,0
67fef78a33178c7faa73efca,1,0,0,0
67fef78a33178c7faa73efd1,1,0,0,0
67fef78b33178c7faa73efd5,1,0,0,0
67fef78b33178c7faa73efda,1,0,0,0
67fef78c33178c7faa73efdc,1,0,0,0
67fef78c33178c7faa73efde,1,0,0,0
67fef78d33178c7faa73efe1,1,0,0,0
67fef8519503305ce5cfb738,1,0,0,0
67ffabf4771d092225b74de5,1,0,0,0
67ffdd4bd70e2cdfc2c38a9a,1,0,0,0
67ffe324604b571d275bbd3d,1,0,0,0
